Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
+5Y,1,,0.0655,,,,,,,,,,,,,,,,,,,,,,CSCO
-5Y,1,,0.07764,,,,,,,,,,,,,,,,,,,,,,CSCO
0Q,1,2021-12-31,-0.128,0.41,0.38,0.48,0.47,19.0,-0.128,8947350000.0,8689000000.0,9404000000.0,14.0,8603000000.0,0.04,0.41,0.41,0.41,0.41,0.45,0.0,0.0,0.0,,KO
+1Q,1,2022-03-31,0.073,0.59,0.55,0.62,0.55,14.0,0.073,9621870000.0,9312000000.0,10015300000.0,10.0,9019000000.0,0.067,0.59,0.59,0.59,0.59,0.6,1.0,3.0,0.0,,KO
0Y,1,2021-12-31,0.174,2.29,2.26,2.39,1.95,26.0,0.174,38129200000.0,37700000000.0,38791400000.0,24.0,32999000000.0,0.155,2.29,2.29,2.29,2.29,2.26,0.0,0.0,1.0,,KO
+1Y,1,2022-12-31,0.061,2.43,2.21,2.52,2.29,26.0,0.061,40421200000.0,39148100000.0,43120000000.0,24.0,38129200000.0,0.06,2.43,2.43,2.43,2.43,2.43,1.0,3.0,0.0,,KO
+5Y,1,,0.0968,,,,,,,,,,,,,,,,,,,,,,KO
-5Y,1,,0.01906,,,,,,,,,,,,,,,,,,,,,,KO
0Q,1,2021-12-31,0.066,1.29,1.25,1.32,1.21,22.0,0.066,33898000000.0,32990000000.0,36635000000.0,20.0,34692000000.0,-0.023,1.29,1.29,1.28,1.28,1.28,2.0,3.0,0.0,,VZ
+1Q,1,2022-03-31,0.023,1.34,1.27,1.37,1.31,13.0,0.023,32046500000.0,31124000000.0,33700000000.0,9.0,32464000000.0,-0.012999999,1.34,1.34,1.34,1.34,1.32,0.0,1.0,1.0,,VZ
0Y,1,2021-12-31,0.098000005,5.38,5.34,5.45,4.9,25.0,0.098000005,133423000000.0,132536000000.0,136181000000.0,27.0,128292000000.0,0.04,5.38,5.38,5.37,5.37,5.31,0.0,3.0,1.0,,VZ
+1Y,1,2022-12-31,0.004,5.4,5.13,5.57,5.38,26.0,0.004,132856000000.0,128177000000.0,139799000000.0,27.0,133423000000.0,-0.004,5.4,5.4,5.39,5.39,5.34,1.0,4.0,0.0,,VZ
+5Y,1,,0.0379,,,,,,,,,,,,,,,,,,,,,,VZ
-5Y,1,,0.0687,,,,,,,,,,,,,,,,,,,,,,VZ
0Q,1,2021-12-31,0.027,1.51,1.47,1.58,1.47,18.0,0.027,24200500000.0,23881900000.0,24523000000.0,13.0,22455000000.0,0.078,1.51,1.51,1.51,1.51,1.55,1.0,1.0,0.0,,PEP
+1Q,1,2022-03-31,0.066,1.29,1.24,1.33,1.21,11.0,0.066,15528500000.0,15022300000.0,15782000000.0,8.0,14547300000.0,0.067,1.29,1.29,1.29,1.29,1.3,0.0,0.0,0.0,,PEP
0Y,1,2021-12-31,0.13,6.24,6.2,6.32,5.52,21.0,0.13,78280800000.0,76635100000.0,78749000000.0,19.0,70372000000.0,0.111999996,6.24,6.24,6.24,6.24,6.23,1.0,1.0,0.0,,PEP
+1Y,1,2022-12-31,0.08,6.74,6.6,6.95,6.24,21.0,0.08,81435500000.0,79269700000.0,83158000000.0,19.0,78280800000.0,0.04,6.74,6.74,6.73,6.73,6.69,2.0,3.0,0.0,,PEP
+5Y,1,,0.0975,,,,,,,,,,,,,,,,,,,,,,PEP
-5Y,1,,0.05283,,,,,,,,,,,,,,,,,,,,,,PEP
0Q,1,2021-12-31,0.304,0.73,0.69,0.8,0.56,25.0,0.304,29729400000.0,29275400000.0,32717000000.0,25.0,27708000000.0,0.073,0.73,0.73,0.72,0.72,0.78,1.0,9.0,1.0,,CMCSA
+1Q,1,2022-03-31,0.145,0.87,0.8,0.97,0.76,11.0,0.145,30468300000.0,29402000000.0,31459000000.0,10.0,26702500000.0,0.141,0.87,0.87,0.86,0.89,0.95,1.0,2.0,0.0,,CMCSA
0Y,1,2021-12-31,0.222,3.19,3.0,3.32,2.61,25.0,0.222,115735000000.0,114506000000.0,118766000000.0,32.0,103564000000.0,0.118,3.19,3.19,3.18,3.17,3.12,1.0,10.0,1.0,,CMCSA
+1Y,1,2022-12-31,0.157,3.69,3.31,4.09,3.19,28.0,0.157,122475000000.0,117522000000.0,130467000000.0,31.0,115735000000.0,0.058000002,3.69,3.7,3.71,3.71,3.79,0.0,3.0,2.0,,CMCSA
+5Y,1,,0.18100001,,,,,,,,,,,,,,,,,,,,,,CMCSA
-5Y,1,,0.16898,,,,,,,,,,,,,,,,,,,,,,CMCSA
0Q,1,2021-12-31,-0.305,4.93,4.75,5.68,7.09,18.0,-0.305,8844660000.0,8567000000.0,9752300000.0,16.0,10550000000.0,-0.162,4.93,4.93,4.85,4.85,4.69,1.0,3.0,0.0,,TMO
+1Q,1,2022-03-31,-0.311,4.97,4.65,5.18,7.21,8.0,-0.311,9631870000.0,9483900000.0,9788000000.0,6.0,9716750000.0,-0.009,4.97,4.97,4.94,4.94,4.98,0.0,1.0,0.0,,TMO
0Y,1,2021-12-31,0.202,23.5,23.34,24.29,19.55,22.0,0.202,37300000000.0,37050700000.0,38261300000.0,22.0,32218000000.0,0.158,23.5,23.5,23.43,23.43,22.17,1.0,3.0,0.0,,TMO
+1Y,1,2022-12-31,-0.075,21.73,21.36,24.05,23.5,19.0,-0.075,40715600000.0,39644200000.0,42814000000.0,19.0,37300000000.0,0.092,21.73,21.73,21.65,21.49,21.29,1.0,3.0,0.0,,TMO
+5Y,1,,0.118,,,,,,,,,,,,,,,,,,,,,,TMO
-5Y,1,,0.13046,,,,,,,,,,,,,,,,,,,,,,TMO
0Q,1,2021-12-31,,2.17,2.01,2.23,,7.0,,6806900000.0,6321750000.0,7107440000.0,6.0,,,2.17,2.13,2.04,1.99,1.91,1.0,3.0,0.0,,LLY
+1Q,1,2022-03-31,,1.81,1.8,1.83,,2.0,,6026680000.0,5919180000.0,6134180000.0,2.0,,,1.81,1.81,1.64,1.59,1.6,0.0,2.0,0.0,,LLY
0Y,1,2021-12-31,,7.21,7.03,7.26,,10.0,,24856300000.0,24299600000.0,25084400000.0,9.0,,,7.21,7.16,7.07,6.89,6.8,1.0,6.0,0.0,,LLY
+1Y,1,2022-12-31,0.039,7.49,7.06,7.72,7.21,10.0,0.039,24845200000.0,24415500000.0,25138400000.0,9.0,24856300000.0,0.0,7.49,7.46,7.35,7.18,7.17,0.0,5.0,1.0,,LLY
+5Y,1,,0.0708,,,,,,,,,,,,,,,,,,,,,,LLY
-5Y,1,,0.17265,,,,,,,,,,,,,,,,,,,,,,LLY
0Q,1,2021-12-31,-0.17899999,1.19,1.14,1.35,1.45,18.0,-0.17899999,10585600000.0,10214100000.0,11237000000.0,16.0,10701000000.0,-0.011,1.19,1.19,1.17,1.17,1.01,1.0,2.0,0.0,,ABT
+1Q,1,2022-03-31,-0.159,1.11,0.99,1.42,1.32,14.0,-0.159,9775760000.0,9081000000.0,10963000000.0,11.0,10685800000.0,-0.085,1.11,1.11,1.08,1.08,1.05,1.0,1.0,0.0,,ABT
0Y,1,2021-12-31,0.395,5.09,5.01,5.5,3.65,23.0,0.395,42201900000.0,41529600000.0,42844000000.0,22.0,34608000000.0,0.219,5.09,5.08,5.07,5.07,4.44,1.0,4.0,0.0,,ABT
+1Y,1,2022-12-31,-0.065,4.76,4.49,5.15,5.09,23.0,-0.065,40203500000.0,38061000000.0,42773000000.0,23.0,42201900000.0,-0.047,4.76,4.76,4.73,4.73,4.66,0.0,3.0,1.0,,ABT
+5Y,1,,0.1312,,,,,,,,,,,,,,,,,,,,,,ABT
-5Y,1,,0.081549995,,,,,,,,,,,,,,,,,,,,,,ABT
0Q,1,2022-02-28,0.064,3.34,3.24,3.38,3.14,26.0,0.064,4240000000.0,4218000000.0,4309710000.0,24.0,,,3.34,3.34,3.38,3.38,3.38,3.0,4.0,13.0,,ADBE
+1Q,1,2022-05-31,0.106000006,3.35,3.28,3.47,3.03,26.0,0.106000006,4408460000.0,4334000000.0,4496000000.0,24.0,,,3.35,3.35,3.47,3.47,3.47,1.0,1.0,16.0,,ADBE
0Y,1,2022-11-30,0.105,13.79,13.67,14.37,12.48,28.0,0.105,17946400000.0,17851800000.0,18302000000.0,28.0,15785000000.0,0.137,13.79,13.79,14.27,14.24,14.24,1.0,3.0,17.0,,ADBE
+1Y,1,2023-11-30,0.17799999,16.25,15.55,18.08,13.79,28.0,0.17799999,20614400000.0,19871300000.0,21543800000.0,28.0,17946400000.0,0.14899999,16.25,16.25,16.76,16.66,16.65,4.0,5.0,12.0,,ADBE
+5Y,1,,0.1535,,,,,,,,,,,,,,,,,,,,,,ADBE
-5Y,1,,0.45875,,,,,,,,,,,,,,,,,,,,,,ADBE
0Q,1,2022-01-31,0.079,1.5,1.45,1.59,1.39,28.0,0.079,151741000000.0,148417000000.0,157400000000.0,25.0,152079000000.0,-0.002,1.5,1.5,1.5,1.48,1.48,1.0,2.0,0.0,,WMT
+1Q,1,2022-04-30,-0.018,1.66,1.4,1.77,1.69,22.0,-0.018,140057000000.0,134590000000.0,144300000000.0,19.0,,,1.66,1.66,1.66,1.65,1.64,1.0,1.0,0.0,,WMT
0Y,1,2022-01-31,0.17,6.41,6.36,6.55,5.48,32.0,0.17,572018000000.0,566988000000.0,595400000000.0,31.0,559151000000.0,0.023,6.41,6.41,6.41,6.31,6.31,1.0,3.0,0.0,,WMT
+1Y,1,2023-01-31,0.048,6.72,6.4,7.12,6.41,32.0,0.048,588760000000.0,577727000000.0,606679000000.0,31.0,572018000000.0,0.029000001,6.72,6.72,6.72,6.6,6.58,1.0,4.0,0.0,,WMT
+5Y,1,,0.081,,,,,,,,,,,,,,,,,,,,,,WMT
-5Y,1,,0.00528,,,,,,,,,,,,,,,,,,,,,,WMT
0Q,1,2021-12-31,0.592,1.56,1.22,2.18,0.98,17.0,0.592,13464800000.0,12005000000.0,17504000000.0,14.0,12514000000.0,0.076,1.56,1.56,1.61,1.67,1.59,0.0,1.0,0.0,,MRK
+1Q,1,2022-03-31,0.38799998,1.61,1.51,1.7,1.16,6.0,0.38799998,13102000000.0,12409800000.0,13717000000.0,6.0,12080000000.0,0.085,1.61,1.61,1.57,1.67,1.41,0.0,1.0,0.0,,MRK
0Y,1,2021-12-31,0.274,5.77,5.6,6.4,4.53,19.0,0.274,48674000000.0,47215000000.0,52686000000.0,21.0,47994000000.0,0.0139999995,5.77,5.77,5.82,5.86,5.62,0.0,1.0,0.0,,MRK
+1Y,1,2022-12-31,0.248,7.2,6.35,7.91,5.77,23.0,0.248,56286400000.0,50052000000.0,64037000000.0,23.0,48674000000.0,0.156,7.2,7.2,7.23,7.34,6.59,0.0,2.0,0.0,,MRK
+5Y,1,,0.1533,,,,,,,,,,,,,,,,,,,,,,MRK
-5Y,1,,0.08651,,,,,,,,,,,,,,,,,,,,,,MRK
0Q,1,2021-12-31,-0.408,0.9,0.89,0.95,1.52,34.0,-0.408,18318100000.0,18287000000.0,18545900000.0,30.0,19978000000.0,-0.083000004,0.9,0.9,0.9,0.9,1.01,0.0,1.0,0.0,,INTC
+1Q,1,2022-03-31,-0.38099998,0.86,0.73,1.11,1.39,34.0,-0.38099998,17618600000.0,16664000000.0,18727000000.0,30.0,17855800000.0,-0.012999999,0.86,0.86,0.86,0.86,0.99,0.0,1.0,0.0,,INTC
0Y,1,2021-12-31,-0.004,5.28,5.18,5.34,5.3,40.0,-0.004,73617100000.0,73426000000.0,77711300000.0,38.0,77867000000.0,-0.055,5.28,5.28,5.28,5.28,4.79,0.0,1.0,0.0,,INTC
+1Y,1,2022-12-31,-0.299,3.7,3.15,4.83,5.28,40.0,-0.299,73411800000.0,63565000000.0,77400400000.0,38.0,73617100000.0,-0.003,3.7,3.7,3.7,3.7,4.43,0.0,0.0,0.0,,INTC
+5Y,1,,0.031600002,,,,,,,,,,,,,,,,,,,,,,INTC
-5Y,1,,0.1901,,,,,,,,,,,,,,,,,,,,,,INTC
0Q,1,2022-02-28,,2.12,1.98,2.29,,10.0,,12997000000.0,12834400000.0,13118600000.0,10.0,,,2.12,2.12,2.07,2.02,2.02,4.0,8.0,1.0,,ACN
+1Q,1,2022-05-31,,2.48,2.39,2.57,,10.0,,13491800000.0,13142500000.0,13685500000.0,10.0,,,2.48,2.47,2.35,2.29,2.3,6.0,10.0,0.0,,ACN
0Y,1,2022-08-31,0.2,9.36,9.21,9.54,7.8,13.0,0.2,53211800000.0,52745300000.0,53890200000.0,12.0,44816100000.0,0.187,9.36,9.33,8.97,8.73,8.75,8.0,13.0,0.0,,ACN
+1Y,1,2023-08-31,0.116000004,10.45,10.1,10.79,9.36,12.0,0.116000004,57717600000.0,55739400000.0,60403900000.0,11.0,53211800000.0,0.085,10.45,10.41,9.96,9.7,9.72,7.0,13.0,0.0,,ACN
+5Y,1,,0.11359999,,,,,,,,,,,,,,,,,,,,,,ACN
-5Y,1,,0.109110005,,,,,,,,,,,,,,,,,,,,,,ACN
0Q,1,2022-01-31,-0.27899998,0.75,0.71,1.05,1.04,38.0,-0.27899998,7237500000.0,7224120000.0,7331000000.0,35.0,5817000000.0,0.244,0.75,0.75,0.74,0.81,0.81,0.0,1.0,0.0,,CRM
+1Q,1,2022-04-30,-0.174,1.0,0.74,1.18,1.21,35.0,-0.174,7259240000.0,7223620000.0,7412400000.0,31.0,,,1.0,1.0,1.0,1.04,1.04,0.0,6.0,0.0,,CRM
0Y,1,2022-01-31,-0.049000002,4.68,4.47,4.83,4.92,40.0,-0.049000002,26398700000.0,26236000000.0,26497000000.0,43.0,21252000000.0,0.24200001,4.68,4.68,4.68,4.42,4.42,1.0,43.0,0.0,,CRM
+1Y,1,2023-01-31,0.006,4.71,4.42,5.08,4.68,42.0,0.006,31771000000.0,31650000000.0,31931300000.0,43.0,26398700000.0,0.204,4.71,4.71,4.7,4.65,4.63,1.0,26.0,0.0,,CRM
+5Y,1,,0.100200005,,,,,,,,,,,,,,,,,,,,,,CRM
-5Y,1,,0.45869,,,,,,,,,,,,,,,,,,,,,,CRM
0Q,1,2021-12-31,0.75,1.12,0.81,1.64,0.64,21.0,0.75,18766300000.0,17766000000.0,20125200000.0,15.0,17925000000.0,0.047,1.12,1.09,1.08,1.07,0.95,3.0,5.0,0.0,,WFC
+1Q,1,2022-03-31,-0.216,0.8,0.67,0.92,1.02,16.0,-0.216,17603800000.0,16908300000.0,18115000000.0,11.0,18063000000.0,-0.025,0.8,0.79,0.8,0.8,0.73,0.0,1.0,0.0,,WFC
0Y,1,2021-12-31,10.439,4.69,4.28,5.59,0.41,24.0,10.439,76327900000.0,74913000000.0,78082200000.0,16.0,72340000000.0,0.055,4.69,4.67,4.66,4.65,4.34,2.0,4.0,0.0,,WFC
+1Y,1,2022-12-31,-0.203,3.74,3.22,4.15,4.69,24.0,-0.203,72090700000.0,70474000000.0,75398000000.0,17.0,76327900000.0,-0.055999998,3.74,3.71,3.7,3.7,3.61,3.0,5.0,0.0,,WFC
+5Y,1,,1.1586,,,,,,,,,,,,,,,,,,,,,,WFC
-5Y,1,,0.0223,,,,,,,,,,,,,,,,,,,,,,WFC
0Q,1,2021-12-31,0.462,0.76,0.73,0.82,0.52,30.0,0.462,4519270000.0,4456000000.0,4672680000.0,29.0,3244000000.0,0.393,0.76,0.76,0.76,0.76,0.69,0.0,1.0,0.0,,AMD
+1Q,1,2022-03-31,0.32700002,0.69,0.61,0.83,0.52,29.0,0.32700002,4308700000.0,3984000000.0,4569000000.0,28.0,3445000000.0,0.25100002,0.69,0.69,0.69,0.69,0.63,0.0,2.0,0.0,,AMD
0Y,1,2021-12-31,1.039,2.63,2.46,2.8,1.29,35.0,1.039,16129400000.0,16064000000.0,16280700000.0,37.0,9763000000.0,0.65199995,2.63,2.63,2.63,2.64,2.49,0.0,1.0,0.0,,AMD
+1Y,1,2022-12-31,0.27,3.34,2.87,4.3,2.63,36.0,0.27,19199600000.0,17900000000.0,20901600000.0,37.0,16129400000.0,0.19,3.34,3.34,3.33,3.32,3.05,0.0,2.0,0.0,,AMD
+5Y,1,,0.3532,,,,,,,,,,,,,,,,,,,,,,AMD
-5Y,1,,0.39810002,,,,,,,,,,,,,,,,,,,,,,AMD
0Q,1,2021-12-31,0.382,3.0,2.95,3.11,2.17,24.0,0.382,10413000000.0,10300400000.0,10597800000.0,22.0,,,3.0,3.0,3.0,2.59,2.6,0.0,0.0,0.0,,QCOM
+1Q,1,2022-03-31,0.3,2.47,2.32,3.14,1.9,23.0,0.3,9577220000.0,8994050000.0,10385000000.0,22.0,,,2.47,2.47,2.48,2.14,2.14,0.0,0.0,0.0,,QCOM
0Y,1,2022-09-30,0.253,10.7,10.2,12.55,8.54,27.0,0.253,39575200000.0,33566000000.0,42367000000.0,29.0,33467000000.0,0.183,10.7,10.7,10.72,9.29,9.24,0.0,1.0,0.0,,QCOM
+1Y,1,2023-09-30,0.088,11.64,10.43,15.44,10.7,25.0,0.088,42696400000.0,39074000000.0,48820000000.0,27.0,39575200000.0,0.079,11.64,11.64,11.62,9.69,9.4,1.0,2.0,0.0,,QCOM
+5Y,1,,0.25620002,,,,,,,,,,,,,,,,,,,,,,QCOM
-5Y,1,,-0.08359,,,,,,,,,,,,,,,,,,,,,,QCOM
0Q,1,2021-12-31,0.376,2.34,2.18,2.58,1.7,31.0,0.376,6050110000.0,5903020000.0,6238000000.0,23.0,5313800000.0,0.139,2.34,2.34,2.34,2.35,2.26,0.0,0.0,1.0,,MCD
+1Q,1,2022-03-31,0.156,2.22,2.05,2.32,1.92,26.0,0.156,5658560000.0,5197000000.0,5945600000.0,20.0,5031920000.0,0.125,2.22,2.21,2.21,2.21,2.19,1.0,1.0,0.0,,MCD
0Y,1,2021-12-31,0.555,9.41,9.24,9.9,6.05,33.0,0.555,23257300000.0,23116800000.0,23452000000.0,29.0,19207800000.0,0.21100001,9.41,9.41,9.41,9.41,9.08,0.0,3.0,1.0,,MCD
+1Y,1,2022-12-31,0.078,10.14,9.61,10.46,9.41,36.0,0.078,24752900000.0,23730000000.0,25609000000.0,29.0,23257300000.0,0.064,10.14,10.12,10.12,10.13,9.9,1.0,4.0,0.0,,MCD
+5Y,1,,0.216,,,,,,,,,,,,,,,,,,,,,,MCD
-5Y,1,,0.13352,,,,,,,,,,,,,,,,,,,,,,MCD
0Q,1,2021-12-31,0.192,2.48,2.41,2.63,2.08,17.0,0.192,7816700000.0,7645250000.0,7975140000.0,15.0,6760000000.0,0.156,2.48,2.48,2.48,2.48,2.39,0.0,0.0,0.0,,DHR
+1Q,1,2022-03-31,-0.036,2.43,2.25,2.66,2.52,11.0,-0.036,7350910000.0,7133000000.0,7641360000.0,9.0,6858000000.0,0.072,2.43,2.43,2.43,2.43,2.39,0.0,0.0,0.0,,DHR
0Y,1,2021-12-31,0.55799997,9.83,9.4,10.01,6.31,20.0,0.55799997,29020200000.0,28455000000.0,29280000000.0,16.0,22284000000.0,0.30200002,9.83,9.83,9.83,9.82,9.51,0.0,0.0,0.0,,DHR
+1Y,1,2022-12-31,0.032,10.14,9.17,10.9,9.83,21.0,0.032,30763600000.0,29639000000.0,31550000000.0,20.0,29020200000.0,0.06,10.14,10.14,10.14,10.13,9.82,0.0,0.0,0.0,,DHR
+5Y,1,,0.22299999,,,,,,,,,,,,,,,,,,,,,,DHR
-5Y,1,,0.02935,,,,,,,,,,,,,,,,,,,,,,DHR
0Q,1,2021-12-31,0.127,2.66,2.57,2.78,2.36,26.0,0.127,5632770000.0,5470160000.0,5779000000.0,22.0,5141000000.0,0.096,2.66,2.66,2.68,2.69,2.69,0.0,0.0,2.0,,UNP
+1Q,1,2022-03-31,0.24,2.48,2.35,2.56,2.0,15.0,0.24,5485170000.0,5306000000.0,5677000000.0,9.0,5001000000.0,0.096999995,2.48,2.48,2.48,2.47,2.41,2.0,3.0,0.0,,UNP
0Y,1,2021-12-31,0.214,9.94,9.8,10.08,8.19,26.0,0.214,21689800000.0,21528000000.0,21850000000.0,27.0,19533000000.0,0.11,9.94,9.95,9.96,9.98,9.95,0.0,0.0,2.0,,UNP
+1Y,1,2022-12-31,0.145,11.38,10.68,11.78,9.94,29.0,0.145,23235600000.0,22653800000.0,24133000000.0,27.0,21689800000.0,0.071,11.38,11.37,11.36,11.37,11.23,2.0,7.0,0.0,,UNP
+5Y,1,,0.1668,,,,,,,,,,,,,,,,,,,,,,UNP
-5Y,1,,0.109189995,,,,,,,,,,,,,,,,,,,,,,UNP
0Q,1,2021-12-31,0.0,0.4,0.36,0.49,0.4,12.0,0.0,6262990000.0,4623380000.0,8889740000.0,7.0,4395000000.0,0.425,0.4,0.4,0.4,0.41,0.41,0.0,4.0,0.0,,NEE
+1Q,1,2022-03-31,0.015,0.68,0.5,0.93,0.67,8.0,0.015,4851540000.0,4178980000.0,5729780000.0,4.0,3726000000.0,0.30200002,0.68,0.68,0.68,0.67,0.66,0.0,2.0,0.0,,NEE
0Y,1,2021-12-31,0.095,2.53,2.46,2.62,2.31,19.0,0.095,18388800000.0,16598000000.0,20912700000.0,13.0,17997000000.0,0.022,2.53,2.53,2.53,2.53,2.52,0.0,2.0,1.0,,NEE
+1Y,1,2022-12-31,0.083000004,2.74,2.68,2.87,2.53,19.0,0.083000004,21337600000.0,17559000000.0,23863000000.0,14.0,18388800000.0,0.16,2.74,2.74,2.74,2.74,2.74,0.0,4.0,0.0,,NEE
+5Y,1,,0.0995,,,,,,,,,,,,,,,,,,,,,,NEE
-5Y,1,,0.11166,,,,,,,,,,,,,,,,,,,,,,NEE
0Q,1,2022-01-31,0.271,1.69,1.52,2.03,1.33,25.0,0.271,20842200000.0,20107900000.0,21478900000.0,22.0,20311000000.0,0.025999999,1.69,1.69,1.69,1.54,1.54,0.0,8.0,0.0,,LOW
+1Q,1,2022-04-30,-0.022,3.14,2.71,3.44,3.21,22.0,-0.022,23471400000.0,22624000000.0,25155000000.0,17.0,23861500000.0,-0.016,3.14,3.13,3.19,2.97,2.97,0.0,7.0,0.0,,LOW
0Y,1,2022-01-31,0.349,11.95,11.72,12.27,8.86,31.0,0.349,95719500000.0,95017900000.0,96388900000.0,30.0,89597000000.0,0.068,11.95,11.95,11.94,11.34,11.34,0.0,10.0,0.0,,LOW
+1Y,1,2023-01-31,0.079,12.9,11.92,13.95,11.95,31.0,0.079,96918500000.0,94198000000.0,99541000000.0,30.0,95719500000.0,0.012999999,12.9,12.93,12.94,12.15,12.22,0.0,13.0,1.0,,LOW
+5Y,1,,0.16700001,,,,,,,,,,,,,,,,,,,,,,LOW
-5Y,1,,0.1575,,,,,,,,,,,,,,,,,,,,,,LOW
0Q,1,2022-02-28,-0.21100001,0.71,0.61,0.81,0.9,23.0,-0.21100001,10622500000.0,10442000000.0,10791000000.0,21.0,,,0.71,0.71,0.74,0.74,0.73,8.0,8.0,14.0,,NKE
+1Q,1,2022-05-31,0.054,0.98,0.83,1.15,0.93,23.0,0.054,12921200000.0,12100000000.0,13730200000.0,21.0,12344000000.0,0.047,0.98,0.98,1.01,1.01,1.01,7.0,7.0,14.0,,NKE
0Y,1,2022-05-31,0.034,3.68,3.5,3.92,3.56,27.0,0.034,47084900000.0,46428000000.0,47890100000.0,27.0,44538000000.0,0.056999996,3.68,3.68,3.6,3.59,3.54,0.0,22.0,0.0,,NKE
+1Y,1,2023-05-31,0.31,4.82,4.48,5.29,3.68,27.0,0.31,53626100000.0,51371000000.0,56842000000.0,27.0,47084900000.0,0.139,4.82,4.82,4.75,4.75,4.74,1.0,19.0,0.0,,NKE
+5Y,1,,0.15640001,,,,,,,,,,,,,,,,,,,,,,NKE
-5Y,1,,0.083850004,,,,,,,,,,,,,,,,,,,,,,NKE
0Q,1,2021-12-31,0.183,1.94,1.87,2.01,1.64,24.0,0.183,4429880000.0,4400000000.0,4520000000.0,23.0,4076000000.0,0.087,1.94,1.94,1.94,1.94,1.92,1.0,1.0,0.0,,TXN
+1Q,1,2022-03-31,0.016,1.9,1.76,2.03,1.87,23.0,0.016,4361380000.0,3481000000.0,4578000000.0,23.0,4289000000.0,0.017,1.9,1.9,1.89,1.89,1.86,1.0,2.0,0.0,,TXN
0Y,1,2021-12-31,0.365,7.93,7.83,8.0,5.81,28.0,0.365,17925700000.0,17588000000.0,18032000000.0,29.0,14461000000.0,0.24,7.93,7.93,7.93,7.93,7.9,1.0,1.0,0.0,,TXN
+1Y,1,2022-12-31,0.038,8.23,7.6,9.0,7.93,29.0,0.038,18721500000.0,17855000000.0,19349000000.0,29.0,17925700000.0,0.044,8.23,8.23,8.21,8.21,8.19,1.0,2.0,0.0,,TXN
+5Y,1,,0.1,,,,,,,,,,,,,,,,,,,,,,TXN
-5Y,1,,0.20326,,,,,,,,,,,,,,,,,,,,,,TXN
0Q,1,2021-12-31,-0.311,0.82,0.59,1.2,1.19,36.0,-0.311,7719900000.0,7664540000.0,7797550000.0,34.0,6644440000.0,0.162,0.82,0.82,0.82,0.82,1.1,0.0,0.0,0.0,,NFLX
+1Q,1,2022-03-31,-0.075,3.47,2.55,4.14,3.75,21.0,-0.075,8105900000.0,7908400000.0,8308800000.0,18.0,7163280000.0,0.132,3.47,3.47,3.49,3.49,3.53,0.0,0.0,0.0,,NFLX
0Y,1,2021-12-31,0.766,10.74,10.49,11.24,6.08,39.0,0.766,29708600000.0,29620000000.0,29852000000.0,41.0,24996100000.0,0.189,10.74,10.74,10.74,10.73,10.46,0.0,1.0,0.0,,NFLX
+1Y,1,2022-12-31,0.219,13.09,12.15,14.12,10.74,38.0,0.219,34072700000.0,32668300000.0,34933500000.0,40.0,29708600000.0,0.147,13.09,13.09,13.11,13.13,12.86,0.0,1.0,0.0,,NFLX
+5Y,1,,0.42610002,,,,,,,,,,,,,,,,,,,,,,NFLX
-5Y,1,,0.76935995,,,,,,,,,,,,,,,,,,,,,,NFLX
0Q,1,2021-12-31,0.24700001,1.82,1.74,1.88,1.46,16.0,0.24700001,12116500000.0,11877200000.0,12575000000.0,12.0,11068000000.0,0.095,1.82,1.82,1.82,1.83,1.87,0.0,0.0,1.0,,BMY
+1Q,1,2022-03-31,0.14899999,2.0,1.82,2.23,1.74,7.0,0.14899999,11904600000.0,11253000000.0,12355400000.0,6.0,11073000000.0,0.075,2.0,2.0,2.04,2.02,2.09,0.0,0.0,0.0,,BMY
0Y,1,2021-12-31,0.16299999,7.49,7.36,7.58,6.44,21.0,0.16299999,46511100000.0,46278200000.0,46975000000.0,21.0,42518000000.0,0.094,7.49,7.5,7.51,7.51,7.48,0.0,1.0,1.0,,BMY
+1Y,1,2022-12-31,0.047,7.84,7.25,8.83,7.49,21.0,0.047,47794700000.0,46514000000.0,50230000000.0,21.0,46511100000.0,0.027999999,7.84,7.84,7.84,7.83,8.07,1.0,2.0,0.0,,BMY
+5Y,1,,0.059699997,,,,,,,,,,,,,,,,,,,,,,BMY
-5Y,1,,0.21585,,,,,,,,,,,,,,,,,,,,,,BMY
0Q,1,2021-12-31,0.154,3.07,3.0,3.23,2.66,24.0,0.154,26939800000.0,26703000000.0,27814000000.0,18.0,24896000000.0,0.081999995,3.07,3.07,3.06,3.06,2.86,1.0,2.0,0.0,,UPS
