Period,Max Age,End Date,Growth,Earnings Estimate Avg,Earnings Estimate Low,Earnings Estimate High,Earnings Estimate Year Ago Eps,Earnings Estimate Number Of Analysts,Earnings Estimate Growth,Revenue Estimate Avg,Revenue Estimate Low,Revenue Estimate High,Revenue Estimate Number Of Analysts,Revenue Estimate Year Ago Revenue,Revenue Estimate Growth,Eps Trend Current,Eps Trend 7Days Ago,Eps Trend 30Days Ago,Eps Trend 60Days Ago,Eps Trend 90Days Ago,Eps Revisions Up Last7Days,Eps Revisions Up Last30Days,Eps Revisions Down Last30Days,Eps Revisions Down Last90Days,stock
+1Y,1,2022-12-31,-0.096999995,3.16,2.84,3.35,3.5,24.0,-0.096999995,94607100000.0,90828000000.0,103888000000.0,9.0,89674900000.0,0.055,3.16,3.18,3.17,3.15,3.03,1.0,3.0,4.0,,BAC
+5Y,1,,0.2432,,,,,,,,,,,,,,,,,,,,,,BAC
-5Y,1,,0.23448999,,,,,,,,,,,,,,,,,,,,,,BAC
0Q,1,2021-12-31,0.348,2.21,2.13,2.32,1.64,29.0,0.348,5167430000.0,4975500000.0,5277910000.0,26.0,4120000000.0,0.254,2.21,2.21,2.21,2.21,2.24,1.0,1.0,0.0,,MA
+1Q,1,2022-03-31,0.31,2.28,2.08,2.47,1.74,23.0,0.31,5077010000.0,4744100000.0,5325690000.0,18.0,4155000000.0,0.222,2.28,2.28,2.28,2.29,2.3,0.0,0.0,0.0,,MA
0Y,1,2021-12-31,0.286,8.27,8.18,8.4,6.43,32.0,0.286,18837000000.0,18643500000.0,18945900000.0,33.0,15301000000.0,0.231,8.27,8.26,8.27,8.26,8.13,1.0,2.0,0.0,,MA
+1Y,1,2022-12-31,0.273,10.53,9.83,10.95,8.27,35.0,0.273,22545700000.0,21668600000.0,23402900000.0,33.0,18837000000.0,0.19700001,10.53,10.53,10.54,10.54,10.63,0.0,0.0,1.0,,MA
+5Y,1,,0.2618,,,,,,,,,,,,,,,,,,,,,,MA
-5Y,1,,0.2236,,,,,,,,,,,,,,,,,,,,,,MA
0Q,1,2021-12-31,,8.03,7.46,9.74,,7.0,,219220000000.0,214461000000.0,227810000000.0,6.0,,,8.03,8.0,8.07,7.76,9.55,1.0,1.0,0.0,,PFE
+1Q,1,2022-03-31,,15.24,14.92,15.56,,2.0,,242087000000.0,240367000000.0,243807000000.0,2.0,,,15.24,15.28,15.64,9.04,8.35,1.0,1.0,0.0,,PFE
0Y,1,2021-12-31,,38.46,37.85,40.13,,9.0,,743628000000.0,737654000000.0,752432000000.0,8.0,,,38.46,38.53,38.67,35.48,36.42,1.0,2.0,0.0,,PFE
+1Y,1,2022-12-31,0.285,49.43,36.13,61.33,38.46,9.0,0.285,848946000000.0,699144000000.0,923806000000.0,8.0,743628000000.0,0.142,49.43,48.91,47.86,33.94,33.53,1.0,3.0,0.0,,PFE
+5Y,1,,1.0009999,,,,,,,,,,,,,,,,,,,,,,PFE
-5Y,1,,0.08668,,,,,,,,,,,,,,,,,,,,,,PFE
0Q,1,2021-12-31,0.123,3.28,3.21,3.36,2.92,17.0,0.123,14952200000.0,14420100000.0,15109000000.0,14.0,13858000000.0,0.079,3.28,3.28,3.29,3.29,3.31,0.0,1.0,0.0,,ABBV
+1Q,1,2022-03-31,0.092,3.22,2.98,3.4,2.95,7.0,0.092,13939700000.0,13414100000.0,14358800000.0,6.0,12935000000.0,0.078,3.22,3.22,3.25,3.27,3.25,0.0,0.0,0.0,,ABBV
0Y,1,2021-12-31,0.2,12.67,12.61,12.75,10.56,21.0,0.2,56220300000.0,55656100000.0,56369100000.0,21.0,45784000000.0,0.22799999,12.67,12.67,12.67,12.67,12.62,0.0,2.0,0.0,,ABBV
+1Y,1,2022-12-31,0.103,13.97,12.96,14.91,12.67,22.0,0.103,59820100000.0,57247700000.0,61808100000.0,21.0,56220300000.0,0.064,13.97,13.97,14.01,13.93,13.96,0.0,2.0,0.0,,ABBV
+5Y,1,,0.0448,,,,,,,,,,,,,,,,,,,,,,ABBV
-5Y,1,,0.21909,,,,,,,,,,,,,,,,,,,,,,ABBV
0Q,1,2021-12-31,,0.64,0.4,1.12,,14.0,,18783000000.0,18069000000.0,19900500000.0,12.0,,,0.64,0.64,0.63,0.95,1.0,0.0,1.0,0.0,,DIS
+1Q,1,2022-03-31,,1.11,0.71,1.48,,13.0,,17702000000.0,16757700000.0,18778600000.0,11.0,,,1.11,1.11,1.11,1.13,1.16,0.0,0.0,0.0,,DIS
0Y,1,2022-09-30,0.90099996,3.86,3.11,4.91,2.03,16.0,0.90099996,74269500000.0,71627400000.0,77535900000.0,16.0,59650100000.0,0.245,3.86,3.85,3.83,4.24,4.32,0.0,0.0,0.0,,DIS
+1Y,1,2023-09-30,0.311,5.06,4.24,6.43,3.86,15.0,0.311,83045600000.0,77391700000.0,85834300000.0,15.0,74269500000.0,0.118,5.06,5.05,5.03,5.4,5.52,0.0,0.0,0.0,,DIS
+5Y,1,,0.3788,,,,,,,,,,,,,,,,,,,,,,DIS
-5Y,1,,0.01592,,,,,,,,,,,,,,,,,,,,,,DIS
0Q,1,2022-01-31,0.222,8.08,7.18,8.37,6.61,25.0,0.222,7579510000.0,7218000000.0,7646680000.0,24.0,,,8.08,8.08,7.57,7.57,7.57,0.0,24.0,0.0,,AVGO
+1Q,1,2022-04-30,0.19,7.88,7.21,8.45,6.62,25.0,0.19,7413110000.0,7002000000.0,7703000000.0,24.0,,,7.88,7.88,7.43,7.42,7.42,0.0,24.0,0.0,,AVGO
0Y,1,2022-10-31,0.18,33.05,31.76,35.38,28.01,28.0,0.18,30649800000.0,29935000000.0,31587000000.0,28.0,27450000000.0,0.117,33.05,33.05,31.08,31.06,31.07,1.0,28.0,0.0,,AVGO
+1Y,1,2023-10-31,0.091000006,36.05,33.4,39.15,33.05,24.0,0.091000006,32259000000.0,30936000000.0,35100000000.0,25.0,30649800000.0,0.053000003,36.05,36.05,32.86,32.81,32.94,0.0,13.0,0.0,,AVGO
+5Y,1,,0.14739999,,,,,,,,,,,,,,,,,,,,,,AVGO
-5Y,1,,0.30555,,,,,,,,,,,,,,,,,,,,,,AVGO
